Country,Subject Descriptor,2019
Afghanistan,"Gross domestic product per capita, current prices","2,200.54"
Afghanistan,Unemployment rate,
Albania,"Gross domestic product per capita, current prices","14,534.11"
Albania,Unemployment rate,11.5
Algeria,"Gross domestic product per capita, current prices","11,728.70"
Algeria,Unemployment rate,11.383
Angola,"Gross domestic product per capita, current prices","7,383.92"
Angola,Unemployment rate,
Antigua and Barbuda,"Gross domestic product per capita, current prices","22,567.84"
Antigua and Barbuda,Unemployment rate,
Argentina,"Gross domestic product per capita, current prices","22,997.00"
Argentina,Unemployment rate,9.825
Armenia,"Gross domestic product per capita, current prices","14,176.87"
Armenia,Unemployment rate,18.9
Aruba,"Gross domestic product per capita, current prices","33,508.08"
Aruba,Unemployment rate,7.544
Australia,"Gross domestic product per capita, current prices","52,725.75"
Australia,Unemployment rate,5.158
Austria,"Gross domestic product per capita, current prices","58,849.55"
Austria,Unemployment rate,4.5
Azerbaijan,"Gross domestic product per capita, current prices","15,075.90"
Azerbaijan,Unemployment rate,4.848
The Bahamas,"Gross domestic product per capita, current prices","39,557.40"
The Bahamas,Unemployment rate,10.653
Bahrain,"Gross domestic product per capita, current prices","51,891.51"
Bahrain,Unemployment rate,4
Bangladesh,"Gross domestic product per capita, current prices","5,216.80"
Bangladesh,Unemployment rate,
Barbados,"Gross domestic product per capita, current prices","16,291.66"
Barbados,Unemployment rate,10.357
Belarus,"Gross domestic product per capita, current prices","19,942.33"
Belarus,Unemployment rate,0.295
Belgium,"Gross domestic product per capita, current prices","54,028.79"
Belgium,Unemployment rate,5.358
Belize,"Gross domestic product per capita, current prices","6,819.23"
Belize,Unemployment rate,9
Benin,"Gross domestic product per capita, current prices","3,422.51"
Benin,Unemployment rate,
Bhutan,"Gross domestic product per capita, current prices","11,968.25"
Bhutan,Unemployment rate,n/a
Bolivia,"Gross domestic product per capita, current prices","9,064.10"
Bolivia,Unemployment rate,4
Bosnia and Herzegovina,"Gross domestic product per capita, current prices","15,603.62"
Bosnia and Herzegovina,Unemployment rate,15.7
Botswana,"Gross domestic product per capita, current prices","17,948.68"
Botswana,Unemployment rate,
Brazil,"Gross domestic product per capita, current prices","15,336.84"
Brazil,Unemployment rate,11.925
Brunei Darussalam,"Gross domestic product per capita, current prices","61,032.84"
Brunei Darussalam,Unemployment rate,6.822
Bulgaria,"Gross domestic product per capita, current prices","24,247.00"
Bulgaria,Unemployment rate,4.2
Burkina Faso,"Gross domestic product per capita, current prices","2,281.73"
Burkina Faso,Unemployment rate,
Burundi,"Gross domestic product per capita, current prices",821.43
Burundi,Unemployment rate,
Cabo Verde,"Gross domestic product per capita, current prices","7,470.82"
Cabo Verde,Unemployment rate,8.5
Cambodia,"Gross domestic product per capita, current prices","4,570.84"
Cambodia,Unemployment rate,
Cameroon,"Gross domestic product per capita, current prices","3,856.38"
Cameroon,Unemployment rate,
Canada,"Gross domestic product per capita, current prices","51,190.13"
Canada,Unemployment rate,5.667
Central African Republic,"Gross domestic product per capita, current prices",985.154
Central African Republic,Unemployment rate,
Chad,"Gross domestic product per capita, current prices","1,654.19"
Chad,Unemployment rate,
Chile,"Gross domestic product per capita, current prices","25,057.07"
Chile,Unemployment rate,7.223
China,"Gross domestic product per capita, current prices","16,708.69"
China,Unemployment rate,3.62
Colombia,"Gross domestic product per capita, current prices","15,334.10"
Colombia,Unemployment rate,10.517
Comoros,"Gross domestic product per capita, current prices","3,108.12"
Comoros,Unemployment rate,
Democratic Republic of the Congo,"Gross domestic product per capita, current prices","1,014.64"
Democratic Republic of the Congo,Unemployment rate,
Republic of Congo,"Gross domestic product per capita, current prices","4,600.23"
Republic of Congo,Unemployment rate,
Costa Rica,"Gross domestic product per capita, current prices","20,360.91"
Costa Rica,Unemployment rate,12.417
CÙte d'Ivoire,"Gross domestic product per capita, current prices","5,327.03"
CÙte d'Ivoire,Unemployment rate,
Croatia,"Gross domestic product per capita, current prices","29,827.60"
Croatia,Unemployment rate,7.758
Cyprus,"Gross domestic product per capita, current prices","41,656.49"
Cyprus,Unemployment rate,7.075
Czech Republic,"Gross domestic product per capita, current prices","42,669.92"
Czech Republic,Unemployment rate,2.001
Denmark,"Gross domestic product per capita, current prices","59,719.02"
Denmark,Unemployment rate,5.042
Djibouti,"Gross domestic product per capita, current prices","5,194.96"
Djibouti,Unemployment rate,
Dominica,"Gross domestic product per capita, current prices","13,061.51"
Dominica,Unemployment rate,
Dominican Republic,"Gross domestic product per capita, current prices","19,897.82"
Dominican Republic,Unemployment rate,6.167
Ecuador,"Gross domestic product per capita, current prices","11,928.96"
Ecuador,Unemployment rate,3.84
Egypt,"Gross domestic product per capita, current prices","12,390.92"
Egypt,Unemployment rate,8.612
El Salvador,"Gross domestic product per capita, current prices","9,146.58"
El Salvador,Unemployment rate,6.733
Equatorial Guinea,"Gross domestic product per capita, current prices","19,290.91"
Equatorial Guinea,Unemployment rate,
Eritrea,"Gross domestic product per capita, current prices","1,835.61"
Eritrea,Unemployment rate,
Estonia,"Gross domestic product per capita, current prices","38,540.11"
Estonia,Unemployment rate,4.448
Eswatini,"Gross domestic product per capita, current prices","9,245.31"
Eswatini,Unemployment rate,
Ethiopia,"Gross domestic product per capita, current prices","2,724.12"
Ethiopia,Unemployment rate,
Fiji,"Gross domestic product per capita, current prices","14,026.36"
Fiji,Unemployment rate,4.5
Finland,"Gross domestic product per capita, current prices","50,748.17"
Finland,Unemployment rate,6.833
France,"Gross domestic product per capita, current prices","49,798.55"
France,Unemployment rate,8.467
Gabon,"Gross domestic product per capita, current prices","16,272.69"
Gabon,Unemployment rate,
The Gambia,"Gross domestic product per capita, current prices","2,315.81"
The Gambia,Unemployment rate,
Georgia,"Gross domestic product per capita, current prices","15,633.82"
Georgia,Unemployment rate,11.6
Germany,"Gross domestic product per capita, current prices","56,226.22"
Germany,Unemployment rate,3.133
Ghana,"Gross domestic product per capita, current prices","5,688.21"
Ghana,Unemployment rate,
Greece,"Gross domestic product per capita, current prices","31,572.12"
Greece,Unemployment rate,17.325
Grenada,"Gross domestic product per capita, current prices","18,476.98"
Grenada,Unemployment rate,
Guatemala,"Gross domestic product per capita, current prices","8,486.94"
Guatemala,Unemployment rate,
